model_name;c_index;ibs;auc;time;repeat_i;repeat_seed;fold_i;fold_seed;params;ds_name;outer_seed
sdpm_mlp;0.9856985698569856;0.0110868751348824;0.9970228167352282;14.14473557472229;5;900305;0;472341;"{""batch_size"": 64, ""lr"": 0.0004178422412448995, ""layer_n"": 3, ""hidden_dim"": 128, ""activation"": ""SiLU"", ""normalization"": ""layer"", ""cat_processor"": ""embedding"", ""cat_emb_dim"": 8, ""dropout"": 0.09613636921081603, ""weight_decay"": 1e-06, ""f_embed_noise"": true, ""n_frequencies"": 32, ""frequency_init_scale"": 0.05918987407451429, ""val_period"": 1, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 21, ""s"": 0.016764669648497744}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.9952293577981652;0.0105222877595893;0.9995023527193532;12.202545642852783;5;900305;1;238277;"{""batch_size"": 32, ""lr"": 0.0008939518203745457, ""layer_n"": 4, ""hidden_dim"": 128, ""activation"": ""ReLU"", ""normalization"": ""layer"", ""cat_processor"": ""empty"", ""weight_decay"": 1e-05, ""f_embed_noise"": true, ""n_frequencies"": 8, ""frequency_init_scale"": 0.01934667720768872, ""val_period"": 1, ""dropout"": 0.0, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 21, ""s"": 0.006133137247400183}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.9944270289097876;0.0075916998105729;0.9892645463892258;23.855257272720337;5;900305;2;96612;"{""batch_size"": 32, ""lr"": 0.0009900990280219339, ""layer_n"": 5, ""hidden_dim"": 512, ""activation"": ""SiLU"", ""normalization"": ""none"", ""cat_processor"": ""empty"", ""dropout"": 0.0759241276143654, ""weight_decay"": 0.0001, ""f_embed_noise"": false, ""n_frequencies"": 16, ""frequency_init_scale"": 0.014844871579568495, ""val_period"": 1, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 11, ""s"": 0.00015517352546764144}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.9940071913703556;0.0094458678355671;0.9992272970022368;39.37073826789856;5;900305;3;581524;"{""batch_size"": 32, ""lr"": 0.0005257050563620345, ""layer_n"": 4, ""hidden_dim"": 512, ""activation"": ""ReLU"", ""normalization"": ""conditional"", ""cat_processor"": ""empty"", ""dropout"": 0.14703662720214528, ""weight_decay"": 1e-05, ""f_embed_noise"": true, ""n_frequencies"": 16, ""frequency_init_scale"": 0.02535938398474276, ""val_period"": 1, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 31, ""s"": 0.005164282949656023}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.9971160778658976;0.0058272775879635;0.9996210186080542;15.79584002494812;6;90121;0;931020;"{""batch_size"": 32, ""lr"": 0.000494759453286206, ""layer_n"": 3, ""hidden_dim"": 256, ""activation"": ""ReLU"", ""normalization"": ""conditional"", ""cat_processor"": ""embedding"", ""cat_emb_dim"": 4, ""weight_decay"": 0.0, ""f_embed_noise"": true, ""n_frequencies"": 16, ""frequency_init_scale"": 0.01195670130537211, ""val_period"": 1, ""dropout"": 0.0, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 11, ""s"": 0.005075868738481295}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.9912414318354912;0.0117311311827716;0.9993934557394368;19.51932692527771;6;90121;1;66918;"{""batch_size"": 32, ""lr"": 0.00018511879941572897, ""layer_n"": 3, ""hidden_dim"": 512, ""activation"": ""ReLU"", ""normalization"": ""conditional"", ""cat_processor"": ""empty"", ""weight_decay"": 0.0, ""f_embed_noise"": true, ""n_frequencies"": 16, ""frequency_init_scale"": 0.011479680307686322, ""val_period"": 1, ""dropout"": 0.0, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 21, ""s"": 0.00014682291673911207}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.9938954597481876;0.0118313941755559;0.998419263108786;13.456021308898926;6;90121;2;899983;"{""batch_size"": 64, ""lr"": 0.000653799571263534, ""layer_n"": 4, ""hidden_dim"": 128, ""activation"": ""ReLU"", ""normalization"": ""conditional"", ""cat_processor"": ""empty"", ""dropout"": 0.09651454176611018, ""weight_decay"": 1e-06, ""f_embed_noise"": true, ""n_frequencies"": 16, ""frequency_init_scale"": 0.07971888395778888, ""val_period"": 1, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 11, ""s"": 0.0017906007563650776}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.9893917963224894;0.0142206541544245;0.9963868272319548;13.280955076217651;6;90121;3;867834;"{""batch_size"": 32, ""lr"": 0.000986429895669604, ""layer_n"": 2, ""hidden_dim"": 128, ""activation"": ""SiLU"", ""normalization"": ""conditional"", ""cat_processor"": ""embedding"", ""cat_emb_dim"": 8, ""weight_decay"": 1e-05, ""f_embed_noise"": true, ""n_frequencies"": 8, ""frequency_init_scale"": 0.013401068468851016, ""val_period"": 1, ""dropout"": 0.0, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 11, ""s"": 0.00995633926895978}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.9976617303195636;0.0167831469674832;0.9997974535959876;11.195374965667725;7;731243;0;290204;"{""batch_size"": 32, ""lr"": 0.0007721040948658881, ""layer_n"": 3, ""hidden_dim"": 512, ""activation"": ""ReLU"", ""normalization"": ""none"", ""cat_processor"": ""empty"", ""weight_decay"": 0.0, ""f_embed_noise"": true, ""n_frequencies"": 16, ""frequency_init_scale"": 0.012502242672413203, ""val_period"": 1, ""dropout"": 0.0, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 21, ""s"": 0.003550672078702757}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.9931997136721546;0.0076299001034635;0.9995916738819168;29.391663551330566;7;731243;1;662348;"{""batch_size"": 32, ""lr"": 0.00041320050628232435, ""layer_n"": 5, ""hidden_dim"": 128, ""activation"": ""SiLU"", ""normalization"": ""conditional"", ""cat_processor"": ""embedding"", ""cat_emb_dim"": 4, ""weight_decay"": 0.0001, ""f_embed_noise"": true, ""n_frequencies"": 64, ""frequency_init_scale"": 0.017206998662651858, ""val_period"": 1, ""dropout"": 0.0, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 21, ""s"": 0.00023777347896135144}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 8}}";pbc;42
sdpm_mlp;0.9885673454805288;0.0129764376676725;0.997841971932778;22.766374349594116;7;731243;2;173256;"{""batch_size"": 32, ""lr"": 0.000594111918200371, ""layer_n"": 3, ""hidden_dim"": 256, ""activation"": ""SiLU"", ""normalization"": ""none"", ""cat_processor"": ""empty"", ""weight_decay"": 1e-05, ""f_embed_noise"": true, ""n_frequencies"": 8, ""frequency_init_scale"": 0.01660022829281842, ""val_period"": 1, ""dropout"": 0.0, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 21, ""s"": 0.042262943900203735}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.9951582867783983;0.0074759187495905;0.9985699767245222;10.306616306304932;7;731243;3;794912;"{""batch_size"": 32, ""lr"": 0.0006761550478533929, ""layer_n"": 5, ""hidden_dim"": 256, ""activation"": ""SiLU"", ""normalization"": ""none"", ""cat_processor"": ""embedding"", ""cat_emb_dim"": 4, ""weight_decay"": 1e-06, ""f_embed_noise"": true, ""n_frequencies"": 32, ""frequency_init_scale"": 0.012634589053485096, ""val_period"": 1, ""dropout"": 0.0, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 21, ""s"": 0.001765198770874838}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.9959138187221396;0.0099392596920932;0.9959375123577876;15.960415363311768;8;211256;0;734551;"{""batch_size"": 32, ""lr"": 0.0004791611996478195, ""layer_n"": 5, ""hidden_dim"": 64, ""activation"": ""ReLU"", ""normalization"": ""layer"", ""cat_processor"": ""empty"", ""weight_decay"": 0.0001, ""f_embed_noise"": true, ""n_frequencies"": 16, ""frequency_init_scale"": 0.010984382657333903, ""val_period"": 1, ""dropout"": 0.0, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 21, ""s"": 0.01744900425899306}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.9956989247311828;0.0092007371537628;0.9995056544513466;22.512654781341553;8;211256;1;371748;"{""batch_size"": 32, ""lr"": 0.0005026770356655253, ""layer_n"": 3, ""hidden_dim"": 512, ""activation"": ""ReLU"", ""normalization"": ""conditional"", ""cat_processor"": ""embedding"", ""cat_emb_dim"": 4, ""dropout"": 0.06790028674193033, ""weight_decay"": 1e-06, ""f_embed_noise"": true, ""n_frequencies"": 64, ""frequency_init_scale"": 0.01826316751609227, ""val_period"": 1, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 31, ""s"": 0.006216641536272379}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.9966923925027564;0.0057215131253137;0.9993182100396172;15.275269508361816;8;211256;2;71220;"{""batch_size"": 32, ""lr"": 0.0005933073221572658, ""layer_n"": 4, ""hidden_dim"": 512, ""activation"": ""SiLU"", ""normalization"": ""conditional"", ""cat_processor"": ""empty"", ""dropout"": 0.1313499487893231, ""weight_decay"": 0.0, ""f_embed_noise"": true, ""n_frequencies"": 16, ""frequency_init_scale"": 0.012738429528573637, ""val_period"": 1, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 11, ""s"": 0.00022746906095301127}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
sdpm_mlp;0.992128935532234;0.0100360843176882;0.9990978422659424;12.461239576339722;8;211256;3;1017850;"{""batch_size"": 64, ""lr"": 0.0009063325824309507, ""layer_n"": 5, ""hidden_dim"": 256, ""activation"": ""ReLU"", ""normalization"": ""conditional"", ""cat_processor"": ""empty"", ""weight_decay"": 0.0, ""f_embed_noise"": true, ""n_frequencies"": 8, ""frequency_init_scale"": 0.03409147074577889, ""val_period"": 1, ""dropout"": 0.0, ""rtdl_kind"": ""fourier"", ""scheduler"": {""type"": ""cosine"", ""time_steps_n"": 31, ""s"": 0.0006208911795818568}, ""time_wrapper"": {""type"": ""sinusoidal"", ""emb_dim"": 16}}";pbc;42
